pose_id,tx,ty,tz,qx,qy,qz,qw
215,14.296800000,-1.206790000,-3.947060000,0.009307690,0.047946600,0.064874900,0.996697000
216,14.246900000,-1.136380000,-4.011000000,0.009187730,0.047184900,0.064190400,0.996779000
217,14.194800000,-1.064210000,-4.069140000,0.009065350,0.046411200,0.063493000,0.996861000
218,14.122300000,-0.973275000,-4.124370000,0.008940580,0.045625800,0.062779400,0.996944000
219,14.039300000,-0.896411000,-4.156280000,0.008814250,0.044833100,0.062052700,0.997026000
220,13.886700000,-0.817103000,-4.176750000,0.008686640,0.044034400,0.061313800,0.997109000
221,13.761800000,-0.768475000,-4.185190000,0.008558310,0.043232500,0.060568300,0.997191000
222,13.651700000,-0.719414000,-4.185140000,0.008429600,0.042429100,0.059815700,0.997272000
223,13.500500000,-0.662167000,-4.186050000,0.008300360,0.041623700,0.059055200,0.997352000
224,13.385600000,-0.629025000,-4.182510000,0.008170910,0.040817400,0.058290900,0.997431000
225,13.235200000,-0.609602000,-4.166030000,0.008041680,0.040012500,0.057526200,0.997509000
226,13.102500000,-0.617807000,-4.136440000,0.007913270,0.039211700,0.056766100,0.997586000
227,12.977200000,-0.648458000,-4.081620000,0.007786680,0.038420000,0.056014800,0.997660000
228,12.757200000,-0.660059000,-3.977790000,0.007663340,0.037645800,0.055270800,0.997732000
229,12.530200000,-0.659874000,-3.837980000,0.007544400,0.036895900,0.054531900,0.997802000
230,12.310300000,-0.651114000,-3.731060000,0.007428700,0.036164200,0.053796300,0.997869000
231,12.079500000,-0.658323000,-3.623860000,0.007316290,0.035450400,0.053067400,0.997935000
232,11.899800000,-0.658144000,-3.553640000,0.007205980,0.034748100,0.052342500,0.997998000
233,11.709900000,-0.672351000,-3.456220000,0.007098720,0.034062400,0.051624700,0.998060000
234,11.534800000,-0.657882000,-3.353830000,0.006994540,0.033394500,0.050908100,0.998120000
235,11.358800000,-0.656499000,-3.236560000,0.006893990,0.032747200,0.050195100,0.998179000
236,11.141600000,-0.662110000,-3.101240000,0.006797640,0.032123600,0.049488200,0.998235000
237,10.977600000,-0.669883000,-3.050700000,0.006702780,0.031507800,0.048786600,0.998290000
238,10.807300000,-0.655187000,-3.001100000,0.006609220,0.030899600,0.048086000,0.998343000
239,10.634500000,-0.651409000,-2.936930000,0.006517500,0.030301700,0.047388600,0.998396000
240,10.470400000,-0.627169000,-2.859180000,0.006427940,0.029717000,0.046690200,0.998447000
241,10.349500000,-0.615972000,-2.800780000,0.006340040,0.029142100,0.045992300,0.998496000
242,10.202600000,-0.607718000,-2.758090000,0.006253270,0.028573700,0.045296200,0.998545000
243,10.003700000,-0.625673000,-2.698940000,0.006168280,0.028014400,0.044608100,0.998593000
244,9.789170000,-0.647072000,-2.680550000,0.006083750,0.027456000,0.043929300,0.998639000
245,9.618840000,-0.659902000,-2.625820000,0.006000860,0.026906300,0.043256800,0.998684000
246,9.451400000,-0.640957000,-2.557440000,0.005919800,0.026367800,0.042584500,0.998727000
247,9.293700000,-0.621880000,-2.481210000,0.005840830,0.025842200,0.041912000,0.998770000
248,9.128480000,-0.607725000,-2.420540000,0.005763470,0.025326400,0.041240500,0.998812000
249,8.928150000,-0.606776000,-2.370920000,0.005687440,0.024817800,0.040573500,0.998852000
250,8.713860000,-0.582402000,-2.350990000,0.005611620,0.024310500,0.039906600,0.998892000
251,8.595060000,-0.575604000,-2.312220000,0.005536820,0.023809200,0.039241100,0.998931000
252,8.416200000,-0.549360000,-2.260220000,0.005463240,0.023315900,0.038574600,0.998969000
253,8.250640000,-0.552013000,-2.222890000,0.005390660,0.022827800,0.037912500,0.999006000
254,8.148880000,-0.569680000,-2.240880000,0.005317560,0.022335000,0.037256100,0.999042000
255,8.015720000,-0.591006000,-2.285850000,0.005243120,0.021831800,0.036607000,0.999077000
256,7.908800000,-0.616449000,-2.293260000,0.005168550,0.021325800,0.035965400,0.999112000
257,7.732000000,-0.649333000,-2.289990000,0.005094180,0.020818400,0.035334400,0.999146000
258,7.571800000,-0.665605000,-2.284250000,0.005019970,0.020310100,0.034710200,0.999178000
259,7.401480000,-0.650800000,-2.236240000,0.004946920,0.019809000,0.034087100,0.999210000
260,7.238320000,-0.614479000,-2.091730000,0.004877740,0.019334200,0.033460500,0.999241000
261,7.113530000,-0.578491000,-1.979690000,0.004811490,0.018879600,0.032829700,0.999271000
262,6.997810000,-0.537069000,-1.910020000,0.004746840,0.018437200,0.032193500,0.999300000
263,6.839230000,-0.513160000,-1.847470000,0.004683710,0.018005100,0.031556200,0.999329000
264,6.683980000,-0.511037000,-1.817760000,0.004621310,0.017576900,0.030922000,0.999357000
265,6.503760000,-0.509603000,-1.794920000,0.004559410,0.017150900,0.030291800,0.999384000
266,6.311720000,-0.524635000,-1.772740000,0.004498150,0.016726900,0.029668900,0.999410000
267,6.107480000,-0.500179000,-1.701140000,0.004438590,0.016314400,0.029046000,0.999435000
268,5.922440000,-0.471444000,-1.639730000,0.004380410,0.015911600,0.028421700,0.999460000
269,5.701660000,-0.452574000,-1.558260000,0.004324240,0.015522000,0.027798700,0.999484000
270,5.486590000,-0.425902000,-1.488600000,0.004269680,0.015143300,0.027175500,0.999507000
271,5.247140000,-0.415894000,-1.404980000,0.004217240,0.014778100,0.026555900,0.999529000
272,5.059250000,-0.373409000,-1.343050000,0.004166040,0.014422600,0.025932300,0.999551000
273,4.861380000,-0.343236000,-1.271460000,0.004116450,0.014078700,0.025307300,0.999572000
274,4.725440000,-0.318288000,-1.210470000,0.004068250,0.013745000,0.024680500,0.999593000
275,4.572970000,-0.279120000,-1.137700000,0.004021630,0.013423700,0.024049600,0.999613000
276,4.407110000,-0.264585000,-1.064290000,0.003976810,0.013114700,0.023419600,0.999632000
277,4.226930000,-0.246466000,-1.027940000,0.003932730,0.012810500,0.022790300,0.999650000
278,3.994270000,-0.240805000,-0.989466000,0.003889510,0.012511100,0.022165200,0.999668000
279,3.862400000,-0.227316000,-0.964435000,0.003846780,0.012214900,0.021540500,0.999686000
280,3.705360000,-0.200199000,-0.922654000,0.003804840,0.011924900,0.020914200,0.999703000
281,3.542670000,-0.182057000,-0.858026000,0.003764400,0.011645600,0.020288000,0.999719000
282,3.395110000,-0.154631000,-0.799729000,0.003725200,0.011375900,0.019659900,0.999735000
283,3.239930000,-0.124520000,-0.736782000,0.003687320,0.011116500,0.019029400,0.999750000
284,3.105230000,-0.106442000,-0.688622000,0.003650480,0.010864900,0.018398500,0.999765000
285,2.970780000,-0.089861500,-0.661791000,0.003614140,0.010617000,0.017767500,0.999779000
286,2.847590000,-0.080664400,-0.651062000,0.003577920,0.010369500,0.017137500,0.999793000
287,2.610620000,-0.089179700,-0.629737000,0.003542260,0.010123400,0.016514700,0.999806000
288,2.390800000,-0.085941600,-0.624310000,0.003506600,0.009875650,0.015896300,0.999819000
289,2.175260000,-0.069080300,-0.580175000,0.003471850,0.009633870,0.015279700,0.999831000
290,1.915380000,-0.022513100,-0.509260000,0.003438360,0.009402770,0.014659900,0.999842000
291,1.715450000,0.009122170,-0.453070000,0.003405920,0.009180210,0.014038600,0.999854000
292,1.577610000,0.024897900,-0.427161000,0.003373940,0.008961020,0.013417300,0.999864000
293,1.436410000,0.036764600,-0.408378000,0.003342270,0.008743760,0.012797000,0.999874000
294,1.326190000,0.054901400,-0.407168000,0.003310400,0.008525390,0.012175700,0.999884000
295,1.216580000,0.081930900,-0.412202000,0.003278060,0.008304670,0.011551700,0.999893000
296,1.106640000,0.116164000,-0.414546000,0.003245270,0.008082120,0.010923500,0.999902000
