kf_idx,img_idx,tx,ty,tz,qx,qy,qz,qw,loop_ids
187,611,-2.930025578,-0.695960104,-9.417820930,-0.381768912,-0.115978643,0.004731221,0.916964591,
188,613,-2.913441420,-1.019473076,-9.847074509,-0.405369639,-0.116368867,0.012180145,0.906659186,
189,615,-3.200553656,-0.909008086,-10.109116554,-0.409078926,-0.099978320,0.019529119,0.906821132,
190,618,-2.732364178,0.646957994,-10.803690910,-0.352478415,-0.119998902,0.014743204,0.928002834,
191,621,0.310069412,2.093263388,-11.452991486,-0.343899816,-0.142768174,-0.206743404,0.904794931,
192,623,2.455873489,1.468413830,-11.553742409,-0.358194113,-0.206903622,-0.272244096,0.868801892,
193,625,5.255289078,0.666406989,-10.991791725,-0.352958560,-0.270069122,-0.393667459,0.804709256,
194,630,9.173454285,-0.827760577,-8.677307129,-0.307476282,-0.383557588,-0.543021142,0.680821180,
195,633,10.083223343,-1.082368851,-8.129345894,-0.301095605,-0.430394322,-0.558929563,0.641677082,
196,637,9.807632446,-0.512166023,-8.976546288,-0.304779232,-0.418672293,-0.558284640,0.648221910,
197,641,9.368856430,0.296041578,-9.823726654,-0.306896746,-0.400807142,-0.550575435,0.664894640,
198,645,8.675481796,-0.944897652,-10.898869514,-0.379233122,-0.425858051,-0.503629208,0.649025142,
199,649,8.579186440,1.524378538,-11.428611755,-0.321526021,-0.388784409,-0.528646588,0.682679415,
200,651,8.651922226,0.602206886,-11.783259392,-0.353642970,-0.411082774,-0.518257499,0.661366999,
201,655,8.158556938,1.370022058,-12.839963913,-0.357021451,-0.411786348,-0.489876747,0.680469751,
202,660,8.427135468,1.378039002,-13.710971832,-0.366139233,-0.436566055,-0.472433031,0.672465682,492
203,665,9.911991119,1.110681891,-13.678418159,-0.362752289,-0.468163669,-0.499772847,0.632070303,
204,668,10.099663734,2.391577244,-14.187843323,-0.341866136,-0.462869763,-0.507552683,0.641344666,
205,672,10.333912849,3.299951792,-14.957265854,-0.340947002,-0.428143889,-0.543376565,0.636588097,
