kf_idx,img_idx,tx,ty,tz,qx,qy,qz,qw,loop_ids
39,123,13.116340637,3.216386795,-7.989514351,-0.208155695,-0.524079770,-0.582156408,0.585752097,128
40,126,13.068245888,2.864406586,-8.832795143,-0.231204115,-0.528424265,-0.576322607,0.578934111,128
41,130,11.593282700,4.857121468,-10.778073311,-0.226008396,-0.494235346,-0.548172907,0.635734293,129
42,134,11.266050339,4.261409760,-12.225577354,-0.264692202,-0.512573848,-0.520551585,0.629469727,130
43,139,11.445743561,5.738697052,-12.466767311,-0.238855140,-0.508241501,-0.532094275,0.633651703,131
44,144,10.896920204,6.099155903,-14.040932655,-0.262495347,-0.491122541,-0.530154683,0.639398823,136
45,146,10.969887733,7.251262188,-14.093707085,-0.244401681,-0.474377835,-0.546523948,0.645403023,136
46,149,10.925902367,7.178170204,-14.993279457,-0.258790504,-0.481081538,-0.536565843,0.643183586,136
47,153,15.189155579,4.360464096,-13.070421219,0.267586642,0.486176633,0.649270139,-0.520074953,137
48,157,19.988891602,-3.662610292,-3.859139681,0.190686426,0.517021886,0.805749770,-0.217012360,137
49,161,17.452096939,-10.089180946,3.913538694,0.112949192,0.517051860,0.847508425,0.040364871,138
50,164,15.215610504,-11.598429680,6.645185947,0.097519071,0.541286845,0.823267370,0.140461455,139
51,165,15.204705238,-11.447192192,6.680415154,0.100104672,0.547769342,0.818317669,0.142421896,139
52,168,15.271180153,-11.160841942,6.002399445,0.102176513,0.535359553,0.826858826,0.138760913,139
53,173,16.068485260,-9.284125328,5.012346268,0.108907273,0.558630191,0.815258384,0.106889113,
54,176,15.635093689,-9.505723953,4.661323547,0.112459588,0.544448527,0.821664198,0.125684477,
55,182,16.132766724,-7.877303600,3.946506500,0.108737835,0.562288576,0.813378216,0.102095631,
56,184,16.237367630,-7.586812019,3.332510710,0.114704990,0.552813729,0.819906456,0.094832216,
57,187,16.231721878,-7.160281658,3.042110682,0.113220682,0.548545598,0.823220992,0.092660687,
58,189,16.282451630,-6.812148094,2.934573412,0.113518827,0.556092911,0.818310053,0.090789909,
59,192,15.661478043,-7.479358196,3.554134369,0.109753761,0.547034214,0.819348241,0.131818591,
60,195,16.007036209,-6.449831009,2.599461079,0.117358833,0.551207185,0.818922498,0.108459605,
61,196,15.949774742,-6.299604893,2.707787991,0.114459167,0.553995449,0.816846163,0.112918057,
62,198,16.094778061,-5.716639519,2.447826862,0.111017018,0.550990643,0.820570133,0.103678302,
63,199,16.021814346,-5.920294285,1.962618828,0.125261296,0.544845973,0.822369163,0.105647688,
